threshold,macro_f0.5,macro_precision,macro_recall,singleton_f0.5,single_match_f0.5,multi_match_f0.5,S2_f0.5,S3_f0.5,average_predictions_per_S1,percentage_abstaining,false_positive_singleton_rate
0.5175,0.5041,0.5773,0.4408,0.5217,0.3177,0.514,0.5143,0.5079,2.4146,18.44,0.4783
0.52,0.5041,0.5772,0.4407,0.5217,0.3177,0.5139,0.5142,0.5079,2.414,18.44,0.4783
0.5225,0.504,0.5773,0.4406,0.5217,0.3177,0.5139,0.5142,0.5079,2.4133,18.44,0.4783
0.525,0.504,0.5772,0.4405,0.5217,0.3177,0.5139,0.5142,0.5078,2.4126,18.45,0.4783
0.5275,0.504,0.5773,0.4404,0.5217,0.3178,0.5139,0.5142,0.5078,2.4119,18.45,0.4783
0.53,0.5039,0.5772,0.4402,0.5217,0.3178,0.5137,0.5141,0.5077,2.4107,18.46,0.4783
0.5325,0.5039,0.5772,0.4402,0.5217,0.3178,0.5137,0.5141,0.5077,2.4103,18.46,0.4783
0.535,0.504,0.5774,0.4402,0.5236,0.3178,0.5137,0.5141,0.5077,2.4093,18.48,0.4764
0.5375,0.504,0.5773,0.4402,0.5236,0.3178,0.5137,0.5141,0.5077,2.4086,18.49,0.4764
0.54,0.504,0.5773,0.4401,0.5236,0.3178,0.5137,0.5141,0.5077,2.4082,18.49,0.4764
0.5425,0.5041,0.5774,0.4402,0.5254,0.3178,0.5137,0.5141,0.5077,2.4075,18.5,0.4746
0.545,0.5041,0.5774,0.4402,0.5254,0.3178,0.5137,0.5141,0.5077,2.4069,18.5,0.4746
0.5475,0.5041,0.5774,0.4401,0.5254,0.3178,0.5137,0.5141,0.5076,2.4066,18.5,0.4746
0.55,0.5041,0.5775,0.44,0.5254,0.3178,0.5137,0.5141,0.5077,2.4059,18.5,0.4746
0.5525,0.5041,0.5775,0.44,0.5272,0.3178,0.5136,0.514,0.5076,2.4052,18.52,0.4728
0.555,0.504,0.5774,0.4399,0.5272,0.3178,0.5135,0.5139,0.5074,2.4046,18.53,0.4728
0.5575,0.504,0.5774,0.4399,0.5272,0.3178,0.5135,0.5139,0.5075,2.4044,18.53,0.4728
0.56,0.504,0.5774,0.4398,0.5272,0.318,0.5135,0.5139,0.5074,2.4037,18.53,0.4728
0.5625,0.504,0.5775,0.4397,0.5272,0.318,0.5135,0.5139,0.5075,2.403,18.53,0.4728
0.565,0.504,0.5774,0.4396,0.5272,0.318,0.5135,0.5139,0.5074,2.4024,18.53,0.4728
0.5675,0.504,0.5774,0.4396,0.5272,0.318,0.5135,0.5139,0.5074,2.4022,18.53,0.4728
0.57,0.504,0.5775,0.4396,0.5272,0.318,0.5135,0.5139,0.5075,2.4018,18.53,0.4728
0.5725,0.504,0.5774,0.4395,0.5272,0.318,0.5135,0.5139,0.5074,2.4011,18.54,0.4728
0.575,0.5039,0.5774,0.4393,0.5272,0.318,0.5133,0.5138,0.5073,2.4001,18.56,0.4728
0.5775,0.5039,0.5774,0.4393,0.5272,0.318,0.5134,0.5138,0.5073,2.3994,18.57,0.4728
0.58,0.5039,0.5774,0.4393,0.5272,0.318,0.5134,0.5138,0.5073,2.3994,18.57,0.4728
0.59,0.5038,0.5774,0.4389,0.5272,0.318,0.5133,0.5137,0.5072,2.3969,18.59,0.4728
0.6,0.5037,0.5774,0.4385,0.5272,0.3181,0.5131,0.5136,0.5071,2.3941,18.59,0.4728
